cluster id,user id
8,18863319
6,18863414
1,18863776
5,18863830
5,18863831
2,18864155
0,18864261
3,18864268
2,18864273
2,18864365
5,18864552
5,18864736
5,18864757
5,18864923
5,18865185
3,18865226
4,18865703
5,18866518
5,18868090
1,18872407
1,18872517
0,18873218
5,18873964
9,18874131
0,18874199
0,18874210
5,18874278
1,18874488
3,18874627
0,18874684
4,18874730
5,18874871
7,18874975
3,18875204
3,18875224
5,18875483
6,18875524
1,18875934
9,18876104
2,18876253
0,18876969
9,18877044
3,18877529
4,18878695
5,18879588
2,18885962
5,18886277
5,18893895
2,18895001
2,18895085
7,18897724
5,18897860
6,18900839
4,18902677
6,18903022
2,18903093
2,18903181
2,18903272
5,18903417
3,18903683
0,18903820
4,18903908
5,18904184
7,18904351
2,18904453
6,18904668
5,18905480
5,18905527
4,18905593
5,18905981
2,18906013
6,18906055
4,18906402
2,18906439
4,18906460
5,18906547
5,18906685
5,18906705
7,18906709
6,18906713
6,18906795
5,18907017
2,18907374
9,18907454
4,18907546
1,18907580
4,18907632
3,18907688
5,18907824
5,18907839
2,18907897
5,18908008
2,18908081
0,18908140
2,18908151
3,18908155
4,18908158
9,18908168
6,18908266
2,18908346
5,18908348
4,18908943
2,18909021
0,18909052
4,18909145
6,18909212
5,18909456
1,18909549
4,18909577
5,18909920
6,18909960
4,18910220
4,18910228
5,18910986
5,18911937
6,18912868
6,18917134
9,18918140
7,18918247
5,18918312
0,18918543
3,18918680
2,18918728
4,18918757
3,18918822
1,18919007
1,18919185
0,18919375
2,18919451
5,18919813
4,18919847
2,18919905
0,18919965
2,18920128
1,18920135
1,18920198
2,18920335
5,18920356
6,18920378
7,18920497
6,18920745
6,18920799
0,18920814
8,18920910
5,18921005
5,18921296
5,18921606
5,18921740
5,18921862
9,18921954
6,18922052
5,18922064
5,18922232
2,18922254
4,18922422
9,18922783
4,18922939
0,18922975
5,18923673
9,18924116
5,18924186
2,18924376
5,18924412
0,18924537
4,18924582
5,18925391
4,18925673
2,18926034
4,18926478
2,18926781
3,18927116
4,18927244
6,18927646
6,18927770
5,18928989
3,18932554
3,18933183
5,18933368
0,18933480
2,18933502
9,18933642
2,18933837
2,18934106
6,18934358
5,18934403
2,18935395
4,18935563
4,18936149
6,18936154
9,18936332
5,18936457
0,18936549
2,18936701
7,18937200
9,18937701
2,18938756
2,18939720
3,18940471
7,18940552
3,18947381
1,18948806
3,18948838
5,18950325
0,18950828
6,18951239
5,18952021
3,18953058
5,18953800
5,18954246
3,18955579
2,18958365
4,18959988
2,18961347
4,18961864
5,18961886
5,18962168
1,18962331
1,18962407
5,18962427
8,18963143
0,18963190
2,18963439
5,18963786
5,18964278
2,18964409
5,18964767
7,18972359
0,18979770
1,18980095
2,18983125
2,18986079
3,18987461
1,18988840
5,18989318
5,18989740
5,18989867
5,18990470
4,18990575
5,18990651
4,18990659
4,18991151
5,18991291
6,18991885
4,18992228
5,18993076
3,18993413
4,18993685
5,18994263
6,18994461
4,18995017
7,18995177
5,18995182
3,18995642
5,18996025
5,18997449
2,19001185
5,19001518
0,19002237
1,19003007
0,19004188
7,19005057
6,19005936
5,19006381
2,19007026
3,19007271
6,19015245
5,19016941
0,19016966
5,19017276
2,19017798
2,19017908
6,19017986
5,19018414
0,19018511
0,19018782
2,19019566
5,19019578
4,19019649
3,19020072
