id,percent_grade,date_joined,enroll_created_date,cert_status,certGrp
22856155,0.69,3/8/2019 15:19,3/8/2019 15:21,Pass,Certified (< 65% Grade)
22856184,0.02,3/8/2019 15:21,3/8/2019 15:22,,Not certified (> 65% Grade)
22856039,0.37,3/8/2019 15:10,3/8/2019 15:23,,Not certified (> 65% Grade)
22856220,0.47,3/8/2019 15:24,3/8/2019 15:25,,Not certified (> 65% Grade)
22856237,0.58,3/8/2019 15:26,3/8/2019 15:26,,Not certified (> 65% Grade)
22856228,0.17,3/8/2019 15:25,3/8/2019 15:26,,Not certified (> 65% Grade)
22856213,0.62,3/8/2019 15:24,3/8/2019 15:28,,Not certified (> 65% Grade)
22856273,0.39,3/8/2019 15:29,3/8/2019 15:30,,Not certified (> 65% Grade)
22856294,0.6,3/8/2019 15:32,3/8/2019 15:38,,Not certified (> 65% Grade)
22856350,0.34,3/8/2019 15:36,3/8/2019 15:40,,Not certified (> 65% Grade)
22856354,0.43,3/8/2019 15:36,3/8/2019 15:40,,Not certified (> 65% Grade)
22856366,0.5,3/8/2019 15:37,3/8/2019 15:40,,Not certified (> 65% Grade)
22856073,0.1,3/8/2019 15:12,3/8/2019 15:40,,Not certified (> 65% Grade)
22855588,0.54,3/8/2019 14:27,3/8/2019 15:41,,Not certified (> 65% Grade)
22856227,0.37,3/8/2019 15:25,3/8/2019 15:46,,Not certified (> 65% Grade)
22856446,0.39,3/8/2019 15:46,3/8/2019 15:47,,Not certified (> 65% Grade)
22856473,0.46,3/8/2019 15:48,3/8/2019 15:49,,Not certified (> 65% Grade)
22856466,0.35,3/8/2019 15:47,3/8/2019 15:50,,Not certified (> 65% Grade)
22856528,0.36,3/8/2019 15:53,3/8/2019 15:54,,Not certified (> 65% Grade)
22856572,0.7,3/8/2019 15:58,3/8/2019 15:59,Pass,Certified (< 65% Grade)
22856578,0.43,3/8/2019 15:59,3/8/2019 16:00,,Not certified (> 65% Grade)
22856611,0,3/8/2019 16:01,3/8/2019 16:02,,Not certified (> 65% Grade)
22856637,0.49,3/8/2019 16:04,3/8/2019 16:04,,Not certified (> 65% Grade)
22856730,0.48,3/8/2019 16:12,3/8/2019 16:13,,Not certified (> 65% Grade)
22853670,0.57,3/8/2019 10:28,3/8/2019 16:18,,Not certified (> 65% Grade)
22856497,0.39,3/8/2019 15:50,3/8/2019 16:19,,Not certified (> 65% Grade)
22856815,0.36,3/8/2019 16:20,3/8/2019 16:23,,Not certified (> 65% Grade)
22298983,0.02,1/25/2019 7:14,3/8/2019 16:24,,Not certified (> 65% Grade)
22856849,0.47,3/8/2019 16:24,3/8/2019 16:27,,Not certified (> 65% Grade)
22856931,0.43,3/8/2019 16:33,3/8/2019 16:34,,Not certified (> 65% Grade)
22857042,0.68,3/8/2019 16:43,3/8/2019 16:46,Pass,Certified (< 65% Grade)
22857180,0.47,3/8/2019 16:53,3/8/2019 16:54,,Not certified (> 65% Grade)
22857219,0.55,3/8/2019 16:57,3/8/2019 17:03,,Not certified (> 65% Grade)
22857301,0.57,3/8/2019 17:06,3/8/2019 17:06,,Not certified (> 65% Grade)
22857335,0.34,3/8/2019 17:09,3/8/2019 17:11,,Not certified (> 65% Grade)
