"from","to","stds","weight","dis","sl"
"070600601c4c439288445d2f0724807d","2b09a08242b54983aec7063990fb3f66",1,1,-37,0
"070600601c4c439288445d2f0724807d","4660ff2089114e8db82ceb26a4f329e3",15,18,8,0
"070600601c4c439288445d2f0724807d","66ada10dde9f43018588f1ced9d477fc",2,2,-3,0
"070600601c4c439288445d2f0724807d","66baf19b6b904b70922329068c63746d",6,6,-61,0
"070600601c4c439288445d2f0724807d","67a089198fcb4e1c8f2385786c2b296f",1,1,-398,0
"070600601c4c439288445d2f0724807d","78adeee1fa2c4fe0bc73f7bca9fcee86",1,1,-277,0
"070600601c4c439288445d2f0724807d","7bd5586eb9d8484eb74a433ee7bfe499",22,31,9,0
"070600601c4c439288445d2f0724807d","83d42d95cd844fc093fc09cee250edb8",2,2,28,0
"070600601c4c439288445d2f0724807d","8a7f26e690f34dda97be16904518ca99",31,40,10,0
"070600601c4c439288445d2f0724807d","901e92500aea43c79f19f1b279050668",19,29,5,0
"070600601c4c439288445d2f0724807d","94cecc3f1e7d484b8e068e79241dfd73",1,1,-156,0
"070600601c4c439288445d2f0724807d","a2b4bd40cee2481ebd3fc179d6a5cd62",1,1,-20,0
"070600601c4c439288445d2f0724807d","afbf7250b99d47bea07172749483ca97",1,1,-409,0
"070600601c4c439288445d2f0724807d","b2f0d654738f48158edff28e8d3a546e",136,198,12,0
"070600601c4c439288445d2f0724807d","b71bac264efb4abd97015447bd490db6",1,1,-67,0
"070600601c4c439288445d2f0724807d","bc5524e78a8544e2ae2fdc2f3462bbec",1,1,-158,0
"070600601c4c439288445d2f0724807d","bec48fc2e1294c7eb3d0aca780d731b8",1,1,-17,0
"070600601c4c439288445d2f0724807d","bf12c96466d840a69bed7020b3f18bb8",10,10,-1,0
"070600601c4c439288445d2f0724807d","c5df9f40ec14463b9dcfdc73df3e9285",4,4,27,0
"070600601c4c439288445d2f0724807d","d6d02b6ef04e4f17805504500b8ce441",5,5,-62,0
"070600601c4c439288445d2f0724807d","e20db35ced8544ddac5bc3839145e463",1,1,-346,0
"070600601c4c439288445d2f0724807d","f2a73be2f46840b182d7bd095378004e",1,1,-8,0
"070600601c4c439288445d2f0724807d","f60ee41ec635499abd48168342d32c2f",44,52,16,0
"070600601c4c439288445d2f0724807d","f67fbf45a5f146ed866965bc57c7c001",5,5,17,0
"072a190fd302456290895f9f04d6940a","072a190fd302456290895f9f04d6940a",3,8,0,1
"072a190fd302456290895f9f04d6940a","09b9678ddc3d452ea4a3d46e15826065",2,2,-12,0
"072a190fd302456290895f9f04d6940a","0c4079457ede49e3aeb5e86ed84bdf35",1,1,-36,0
"072a190fd302456290895f9f04d6940a","1ba8fef685d74a8194b9db252eb704fb",3,3,-10,0
"072a190fd302456290895f9f04d6940a","2fe14166dc9642c3bc666b86a57f943d",16,19,-8,0
"072a190fd302456290895f9f04d6940a","30ead9794d4847abaf222ca966cc8630",42,51,-17,0
"072a190fd302456290895f9f04d6940a","492a3bc6a1254f23a7998587961b22a4",19,22,1,0
"072a190fd302456290895f9f04d6940a","4a29443515bb404cb8924e1c60a63b73",7,7,-80,0
"072a190fd302456290895f9f04d6940a","52580888dadb4fe3baa795683ea227bd",30,39,-1,0
"072a190fd302456290895f9f04d6940a","897b7f51242c44aab2205c72fdcbf4cd",4,4,-13,0
"072a190fd302456290895f9f04d6940a","8d448d625b024c82a5eb240bbd7431d6",2,2,9,0
"072a190fd302456290895f9f04d6940a","94cecc3f1e7d484b8e068e79241dfd73",1,1,-84,0
"072a190fd302456290895f9f04d6940a","b2f0d654738f48158edff28e8d3a546e",1,1,84,0
"072a190fd302456290895f9f04d6940a","b71bac264efb4abd97015447bd490db6",19,21,5,0
"072a190fd302456290895f9f04d6940a","c20993c944444fe085345591a8bd837e",4,4,-14,0
"072a190fd302456290895f9f04d6940a","c76574d21bc14aeea7ecd0b027f39858",25,26,2,0
"072a190fd302456290895f9f04d6940a","cfa457d1743848e4bb5e4beced6448ed",137,140,4,0
"072a190fd302456290895f9f04d6940a","d646286c8051419bbc2e31dd1db55ca8",1,1,-298,0
"072a190fd302456290895f9f04d6940a","eff0de7f2dbb42dfa1a2e686efab5b6d",4,4,-11,0
"072a190fd302456290895f9f04d6940a","f00179e251a045b39c3f7a54f9aa4acc",11,13,-2,0
"07b44a7a51e94c78b411c753fc39dab0","017d7ca8e0394b91aaadc9574df2202c",32,43,4,0
"07b44a7a51e94c78b411c753fc39dab0","07b44a7a51e94c78b411c753fc39dab0",3,6,0,1
"07b44a7a51e94c78b411c753fc39dab0","0c7262dff33c4087bc660ccf40f92f9c",5,6,-20,0
"07b44a7a51e94c78b411c753fc39dab0","1c6721b1f63f4d30ba7746ea8af02a52",1,1,32,0
"07b44a7a51e94c78b411c753fc39dab0","2d2580c9411c4972909db508d6956a58",19,20,7,0
"07b44a7a51e94c78b411c753fc39dab0","5bddb3d9ed264f3984702f048c7e5340",1,1,8,0
"07b44a7a51e94c78b411c753fc39dab0","6cd2dcaac46847d4a0bc53f296d90375",193,270,5,0
"07b44a7a51e94c78b411c753fc39dab0","7d932b23e1c84326ae5aa4d3c0d813d1",8,8,-1,0
"07b44a7a51e94c78b411c753fc39dab0","ab11d94c6c8948ea90b88f19d2cd502b",17,19,1,0
"07b44a7a51e94c78b411c753fc39dab0","bb329d880ab54120adaf203a693bb203",1,1,14,0
"07b44a7a51e94c78b411c753fc39dab0","c8e371568a0c4391b25796ae4e91952e",29,34,-3,0
"07b44a7a51e94c78b411c753fc39dab0","d5e8e2bd12a2466b9d6d90855f0eb079",1,1,9,0
"07b44a7a51e94c78b411c753fc39dab0","d7f13c8d63ec4e2aa673fbb9cf9c6933",1,1,17,0
"07b44a7a51e94c78b411c753fc39dab0","f992451ed6ad4e68bb9e68ad6be7c4be",3,3,3,0
"08111f75e22d409998cf8b85bd431f0a","00ae5f0c51874a73a41ebea838d95682",19,24,-7,0
"08111f75e22d409998cf8b85bd431f0a","08111f75e22d409998cf8b85bd431f0a",1,2,0,1
"08111f75e22d409998cf8b85bd431f0a","0c7262dff33c4087bc660ccf40f92f9c",1,1,61,0
"08111f75e22d409998cf8b85bd431f0a","37319e88176d4aefa91d7a9980dbae91",15,16,4,0
"08111f75e22d409998cf8b85bd431f0a","3ec3a3563847406fa73338f9e9999cf3",1,1,9,0
"08111f75e22d409998cf8b85bd431f0a","4280927ec4d643238aa49c32f9e06c6c",12,14,1,0
"08111f75e22d409998cf8b85bd431f0a","62bff51286ef4f348717a3cf6fe2318f",14,15,12,0
"08111f75e22d409998cf8b85bd431f0a","67a089198fcb4e1c8f2385786c2b296f",6,6,-69,0
"08111f75e22d409998cf8b85bd431f0a","71cec822bcff4f30a20e75dc63ef7b65",32,32,8,0
"08111f75e22d409998cf8b85bd431f0a","73039f8c1eb9409cb4caee2cf968001e",4,4,-8,0
"08111f75e22d409998cf8b85bd431f0a","78adeee1fa2c4fe0bc73f7bca9fcee86",1,1,52,0
"08111f75e22d409998cf8b85bd431f0a","9a0dc646f934470daf08c4b56ccf73db",1,1,-71,0
"08111f75e22d409998cf8b85bd431f0a","a9ae0a3c070d455bb4369a8996313336",210,316,6,0
"08111f75e22d409998cf8b85bd431f0a","b1cd0e7dc3ad4a8eb91a4bfdbeb025b0",1,1,10,0
"08111f75e22d409998cf8b85bd431f0a","d391c8b6e56a43a7b654e9dee02d904b",18,25,-5,0
"08111f75e22d409998cf8b85bd431f0a","d646286c8051419bbc2e31dd1db55ca8",2,2,-41,0
"08111f75e22d409998cf8b85bd431f0a","e20db35ced8544ddac5bc3839145e463",29,34,-17,0
"08111f75e22d409998cf8b85bd431f0a","fc44e6a5f7654430af1227838224dceb",1,1,3,0
"08be90ffbeea4795a138cd42ed8db56f","00ae5f0c51874a73a41ebea838d95682",2,2,3,0
"08be90ffbeea4795a138cd42ed8db56f","08be90ffbeea4795a138cd42ed8db56f",218,1030,0,1
"08be90ffbeea4795a138cd42ed8db56f","1febb706d7a34005ae8711ed49c76e64",1,1,-4,0
"08be90ffbeea4795a138cd42ed8db56f","3007433c8f584dcbb5ac159c1c5f2be3",213,213,1,0
"08be90ffbeea4795a138cd42ed8db56f","35eb641ad1d845bbba54915bce75a962",2,2,-1,0
"08be90ffbeea4795a138cd42ed8db56f","8f73ba6f5a0042f2850356ac38ac6f24",1,1,-3,0
"08be90ffbeea4795a138cd42ed8db56f","d391c8b6e56a43a7b654e9dee02d904b",1,1,5,0
"08be90ffbeea4795a138cd42ed8db56f","e20db35ced8544ddac5bc3839145e463",2,2,-7,0
"09400e101c5d4b439cf9a26b03aae558","01b2051f8941460d89945e3b02d1ce78",1,1,7,0
"09400e101c5d4b439cf9a26b03aae558","09400e101c5d4b439cf9a26b03aae558",139,425,0,1
"09400e101c5d4b439cf9a26b03aae558","0c7262dff33c4087bc660ccf40f92f9c",8,8,-41,0
"09400e101c5d4b439cf9a26b03aae558","1c6721b1f63f4d30ba7746ea8af02a52",1,1,11,0
"09400e101c5d4b439cf9a26b03aae558","363837c182e04711840d896ae1e0339c",2,2,8,0
"09400e101c5d4b439cf9a26b03aae558","4a29443515bb404cb8924e1c60a63b73",1,1,75,0
"09400e101c5d4b439cf9a26b03aae558","7108f0e4c2584f1f9c471689ae4c885c",3,3,-2,0
"09400e101c5d4b439cf9a26b03aae558","91125ca626c5470eb145501f8c37f8db",1,1,10,0
"09400e101c5d4b439cf9a26b03aae558","a875096404ef4a9984b62d74cda916f9",42,56,-1,0
"09400e101c5d4b439cf9a26b03aae558","a88efa7e50ce47159810ab553afa6d3a",188,202,2,0
"09400e101c5d4b439cf9a26b03aae558","b534b89233134e30a9b5645138bfa9ee",1,1,-169,0
"09400e101c5d4b439cf9a26b03aae558","b9e80f77c3a44349863b19875725c384",3,3,-3,0
"09400e101c5d4b439cf9a26b03aae558","be502a7a43c44bf7b682698de79d9369",27,35,4,0
"09400e101c5d4b439cf9a26b03aae558","be95c065e45447c1bd8215ea6f130c7a",2,3,9,0
"09400e101c5d4b439cf9a26b03aae558","d7f13c8d63ec4e2aa673fbb9cf9c6933",122,151,-4,0
"09400e101c5d4b439cf9a26b03aae558","eb515a26030b41f8a82a1e6114420bad",1,1,-37,0
"09400e101c5d4b439cf9a26b03aae558","ec341f459285443b8361f7f15638ff08",11,20,3,0
"09400e101c5d4b439cf9a26b03aae558","f7906d6f59b9489a91d2ef40db5a474d",1,1,13,0
"09400e101c5d4b439cf9a26b03aae558","f7fb1952f56b4189b86a9f8b7862d2b8",3,3,5,0
"09400e101c5d4b439cf9a26b03aae558","fc0e049d56024bc9a02c9a9c435c3df7",1,1,-172,0
"09b9678ddc3d452ea4a3d46e15826065","09b9678ddc3d452ea4a3d46e15826065",190,724,0,1
"09b9678ddc3d452ea4a3d46e15826065","0c4079457ede49e3aeb5e86ed84bdf35",6,6,-24,0
"09b9678ddc3d452ea4a3d46e15826065","0d987bed3ffa4ed0b9a2e62e97b7b30f",1,1,-81,0
"09b9678ddc3d452ea4a3d46e15826065","1ba8fef685d74a8194b9db252eb704fb",5,5,2,0
"09b9678ddc3d452ea4a3d46e15826065","2fe14166dc9642c3bc666b86a57f943d",14,14,4,0
"09b9678ddc3d452ea4a3d46e15826065","30ead9794d4847abaf222ca966cc8630",26,29,-5,0
"09b9678ddc3d452ea4a3d46e15826065","38aea304b4fa46e1b29bb72f5cea4c93",1,1,-22,0
"09b9678ddc3d452ea4a3d46e15826065","4a29443515bb404cb8924e1c60a63b73",4,4,-68,0
"09b9678ddc3d452ea4a3d46e15826065","897b7f51242c44aab2205c72fdcbf4cd",108,166,-1,0
"09b9678ddc3d452ea4a3d46e15826065","c20993c944444fe085345591a8bd837e",116,165,-2,0
"09b9678ddc3d452ea4a3d46e15826065","c76574d21bc14aeea7ecd0b027f39858",6,6,14,0
