id,courseID,mod_type,order,chapterModLabel,stds,count,x,y
2d4e0ab0ef3b4d73b82c72d4621a7579,MITxPRO+LASERxB1+1T2019,problem,106,Week 1: Strategy (2.5 hrs),33,109,-3164.438f,302.9743f
8bdebf492ebd4e62b0d522e8ab5e5197,MITxPRO+LASERxB1+1T2019,problem,107,Week 1: Strategy (2.5 hrs),33,139,-3162.4448f,193.54776f
08111f75e22d409998cf8b85bd431f0a,MITxPRO+LASERxB1+1T2019,html,108,Week 1: Strategy (2.5 hrs),34,86,-2982.1729f,-236.63359f
4280927ec4d643238aa49c32f9e06c6c,MITxPRO+LASERxB1+1T2019,video,109,Week 1: Strategy (2.5 hrs),34,154,-3038.7788f,-60.280376f
6e1c7c431db64442b1a7ca15b87a61bd,MITxPRO+LASERxB1+1T2019,html,110,Week 1: Strategy (2.5 hrs),0,0,-983.3317f,-953.349f
fc44e6a5f7654430af1227838224dceb,MITxPRO+LASERxB1+1T2019,problem,111,Week 1: Strategy (2.5 hrs),33,146,-3078.9644f,-175.07878f
37319e88176d4aefa91d7a9980dbae91,MITxPRO+LASERxB1+1T2019,html,112,Week 1: Strategy (2.5 hrs),34,82,-2692.4863f,-412.45627f
9f83d4de28e64c5b81825f4e58892ac7,MITxPRO+LASERxB1+1T2019,html,113,Week 1: Strategy (2.5 hrs),0,0,-333.2366f,-1065.525f
a9ae0a3c070d455bb4369a8996313336,MITxPRO+LASERxB1+1T2019,video,114,Week 1: Strategy (2.5 hrs),33,127,-2882.5308f,-316.9883f
f3c44bf91f85487caa6400dfe774e63b,MITxPRO+LASERxB1+1T2019,html,115,Week 1: Strategy (2.5 hrs),0,0,-753.25867f,-1135.4569f
71cec822bcff4f30a20e75dc63ef7b65,MITxPRO+LASERxB1+1T2019,problem,116,Week 1: Strategy (2.5 hrs),34,119,-2824.5293f,-441.4453f
3ec3a3563847406fa73338f9e9999cf3,MITxPRO+LASERxB1+1T2019,html,117,Week 1: Strategy (2.5 hrs),12,24,-2678.8928f,-208.13408f
b1cd0e7dc3ad4a8eb91a4bfdbeb025b0,MITxPRO+LASERxB1+1T2019,problem,118,Week 1: Strategy (2.5 hrs),32,79,-2540.0815f,-481.3472f
1b532c6a5d0c48ba8cfa09591141b4df,MITxPRO+LASERxB1+1T2019,html,119,Week 1: Strategy (2.5 hrs),0,0,-710.5741f,-1140.3413f
62bff51286ef4f348717a3cf6fe2318f,MITxPRO+LASERxB1+1T2019,poll,120,Week 1: Strategy (2.5 hrs),34,266,-2547.337f,-355.3316f
779f9ddd1fd14d1e9e69f72219a1fdbd,MITxPRO+LASERxB1+1T2019,html,121,Week 1: Strategy (2.5 hrs),34,199,-2269.8086f,-738.81647f
b37e701092c444e8a0009767edc5f622,MITxPRO+LASERxB1+1T2019,html,122,Week 1: Strategy (2.5 hrs),0,0,-1860.0494f,-385.35895f
bd7c391260c74863ad031cabd6ae5cbb,MITxPRO+LASERxB1+1T2019,html,123,Week 1: Strategy (2.5 hrs),0,0,-2145.7969f,-650.9161f
386a0044b3b843cc96cfd11f7f889fda,MITxPRO+LASERxB1+1T2019,html,124,Week 1: Strategy (2.5 hrs),0,0,-464.243f,-1161.9536f
ae26e6cda8ad4a3f81bd347560d9579f,MITxPRO+LASERxB1+1T2019,problem,125,Week 1: Strategy (2.5 hrs),33,113,-2121.793f,-577.9599f
ee48df95832b4374aa273ceb27ec1315,MITxPRO+LASERxB1+1T2019,problem,126,Week 1: Strategy (2.5 hrs),33,82,-2079.3835f,-653.5204f
7a439da90b394756ad1777fc4c6dead5,MITxPRO+LASERxB1+1T2019,problem,127,Week 1: Strategy (2.5 hrs),33,81,-2117.8953f,-724.7243f
579338175e0b4bbb8ef3b712b5d8b54e,MITxPRO+LASERxB1+1T2019,html,128,Week 1: Strategy (2.5 hrs),34,62,-2589.5962f,-1045.1682f
a8dd5213034441ac92724b4e83eb0bb2,MITxPRO+LASERxB1+1T2019,video,129,Week 1: Strategy (2.5 hrs),34,132,-2316.1636f,-900.557f
1e7836a9d0494f13b156aa0cc1135796,MITxPRO+LASERxB1+1T2019,html,130,Week 1: Strategy (2.5 hrs),0,0,-5.0657973f,289.14688f
8115eab6556b45f5b415c3b8c26a12e5,MITxPRO+LASERxB1+1T2019,problem,131,Week 1: Strategy (2.5 hrs),33,123,-2369.729f,-1022.5579f
ec34b06efd844b46a4c4818ecdb9b8f4,MITxPRO+LASERxB1+1T2019,problem,132,Week 1: Strategy (2.5 hrs),33,158,-2430.7957f,-1113.2966f
c2e1c2b9eac64109b343a088584b576b,MITxPRO+LASERxB1+1T2019,problem,133,Week 1: Strategy (2.5 hrs),33,112,-2536.51f,-1130.7689f
b416d47c56a742199b5d7c7f19d6503a,MITxPRO+LASERxB1+1T2019,html,134,Week 1: Strategy (2.5 hrs),34,55,-2551.2952f,-912.53033f
8bc5795d6a984a3eace4e2811e52dd4f,MITxPRO+LASERxB1+1T2019,problem,135,Week 1: Strategy (2.5 hrs),34,98,-2630.7646f,-961.5619f
f661500307d74c908e9207d949ceb4aa,MITxPRO+LASERxB1+1T2019,html,136,Week 1: Strategy (2.5 hrs),10,13,-2688.5457f,-1255.6095f
cd4532ad48034873ba8bce2aac0c9808,MITxPRO+LASERxB1+1T2019,problem,137,Week 1: Strategy (2.5 hrs),34,91,-2463.9287f,-859.0497f
e449fc6047844f2eb8caee5c269d5c1c,MITxPRO+LASERxB1+1T2019,html,138,Week 1: Strategy (2.5 hrs),1,2,-2812.2776f,-1479.9513f
df1de691dafe4549a18a4398ee9dfaf9,MITxPRO+LASERxB1+1T2019,html,139,Week 1: Strategy (2.5 hrs),34,207,-1879.4365f,-1131.9668f
e9312892f6234d46afcb2e1369d2d4ed,MITxPRO+LASERxB1+1T2019,html,140,Week 1: Strategy (2.5 hrs),1,2,-1515.2566f,-1429.0823f
7570bc806234456aa66b290fb5c10af2,MITxPRO+LASERxB1+1T2019,html,141,Week 1: Strategy (2.5 hrs),0,0,-179.8258f,-1092.5779f
5fb9ca36a17e4e5aafb629116db68537,MITxPRO+LASERxB1+1T2019,html,142,Week 1: Strategy (2.5 hrs),0,0,-438.96674f,941.9166f
6c5ad271a44743479bfaea29b1db8d02,MITxPRO+LASERxB1+1T2019,video,143,Week 1: Strategy (2.5 hrs),34,111,-2058.2703f,-1078.7494f
83d311bed5374fee83d8d67a7d9d82dc,MITxPRO+LASERxB1+1T2019,problem,144,Week 1: Strategy (2.5 hrs),32,76,-2087.668f,-1191.9332f
402bba41861d43acb52a5abb89e8831e,MITxPRO+LASERxB1+1T2019,problem,145,Week 1: Strategy (2.5 hrs),33,113,-2016.1803f,-1250.8175f
f902b0f41b544d4dbf79664fd233648d,MITxPRO+LASERxB1+1T2019,html,146,Week 1: Strategy (2.5 hrs),34,64,-2140.351f,-1748.2358f
8aae34f5ddbb4052a709b12e6b0d40fa,MITxPRO+LASERxB1+1T2019,video,147,Week 1: Strategy (2.5 hrs),34,178,-2047.3484f,-1397.852f
6cb6ef2fb4224f9f94891094577870fd,MITxPRO+LASERxB1+1T2019,html,148,Week 1: Strategy (2.5 hrs),0,0,-1869.4238f,-2190.7002f
645b3f0249f64f76af2e19eb4d0e55b7,MITxPRO+LASERxB1+1T2019,problem,149,Week 1: Strategy (2.5 hrs),33,170,-2168.6719f,-1505.9626f
7e7b8db5064d4369805ab370aac5ddfb,MITxPRO+LASERxB1+1T2019,problem,150,Week 1: Strategy (2.5 hrs),33,143,-2239.7446f,-1594.5443f
8956d210ae7f41968fada86d4c979d6a,MITxPRO+LASERxB1+1T2019,problem,151,Week 1: Strategy (2.5 hrs),33,114,-2236.0322f,-1697.4539f
f03480cf4eba413194d7af52fc0e7f28,MITxPRO+LASERxB1+1T2019,html,152,Week 1: Strategy (2.5 hrs),34,67,-1811.0093f,-1680.1323f
ae781e8b775e4ccd93bc800dad5c8376,MITxPRO+LASERxB1+1T2019,problem,153,Week 1: Strategy (2.5 hrs),34,139,-2099.0417f,-1855.4757f
06882a8492d9499aa31555567f575ecb,MITxPRO+LASERxB1+1T2019,problem,154,Week 1: Strategy (2.5 hrs),34,78,-2022.4309f,-1912.3844f
f293c508f409466a8f27ddd7d1e40b20,MITxPRO+LASERxB1+1T2019,problem,155,Week 1: Strategy (2.5 hrs),34,178,-1925.5352f,-1886.535f
